Distance_cm,Azimuth_deg,Elevation_deg
699.8,0.0,0
444.6,0.5,0
353.0,1.0,0
353.0,1.5,0
353.0,2.0,0
353.0,2.5,0
353.0,3.0,0
353.0,3.5,0
350.7,4.0,0
399.0,7.0,0
486.0,10.5,0
563.0,13.5,0
620.0,17.0,0
605.0,19.5,0
587.0,22.5,0
570.0,26.0,0
554.0,29.0,0
581.0,32.5,0
564.0,39.0,0
362.0,42.5,0
339.0,45.5,0
330.0,49.0,0
328.0,52.0,0
459.0,55.5,0
257.0,59.0,0
345.0,62.0,0
377.0,65.5,0
305.0,67.5,0
312.0,70.0,0
405.0,72.0,0
467.0,75.0,0
486.0,77.5,0
443.0,80.5,0
401.0,83.5,0
373.0,86.5,0
350.0,89.5,0
341.0,93.0,0
300.0,96.0,0
283.0,99.5,0
269.0,103.0,0
262.0,106.0,0
254.0,109.5,0
245.0,112.5,0
228.0,116.0,0
192.0,119.5,0
186.0,122.5,0
182.0,126.0,0
179.0,129.0,0
177.0,132.5,0
176.0,135.5,0
175.0,139.0,0
175.0,142.5,0
175.0,145.5,0
176.0,149.0,0
178.0,152.0,0
180.0,155.5,0
188.0,158.5,0
228.0,162.0,0
233.0,165.5,0
239.0,168.5,0
247.0,172.0,0
256.0,175.5,0
267.0,178.5,0
281.0,182.0,0
263.0,185.0,0
275.0,188.5,0
291.0,191.5,0
279.0,195.0,0
239.0,198.5,0
75.0,201.5,0
58.0,205.0,0
60.0,208.0,0
68.0,211.5,0
77.0,215.0,0
77.0,218.0,0
144.0,221.5,0
775.0,224.5,0
993.0,228.0,0
748.0,231.0,0
148.0,234.5,0
122.0,238.0,0
129.0,241.0,0
86.0,244.5,0
23.0,247.5,0
19.0,251.0,0
20.0,254.0,0
20.0,257.5,0
21.0,260.5,0
21.0,264.0,0
22.0,267.0,0
23.0,270.5,0
25.0,274.0,0
26.0,277.0,0
29.0,280.5,0
51.0,283.5,0
85.0,287.0,0
81.0,290.5,0
76.0,293.5,0
293.0,297.0,0
549.0,300.0,0
551.0,303.0,0
562.0,306.5,0
589.0,309.5,0
585.0,313.0,0
580.0,316.0,0
578.0,319.0,0
577.0,322.5,0
573.0,325.5,0
