Distance_cm,Azimuth_deg,Elevation_deg
13.0,6.0,10.0
14.0,5.5,10.0
14.0,5.2,10.0
14.0,5.1,10.0
14.0,4.5,10.0
14.0,4.5,10.0
14.0,4.4,10.0
14.0,4.3,10.0
46.0,4.8,10.0
60.0,7.8,11.67
14.7,10.7,11.75
14.0,11.4,11.87
15.0,12.3,11.99
14.3,13.5,12.1
14.0,14.7,12.22
17.0,16.7,12.32
54.7,130.3,21.45
64.3,130.6,21.57
47.0,132.7,21.67
46.3,134.7,21.79
45.3,137.0,21.88
45.0,140.1,22.02
44.3,142.4,22.11
44.3,144.5,22.19
45.0,146.9,22.27
46.0,150.4,22.39
49.0,152.8,22.45
54.0,156.4,22.56
16.7,160.3,22.66
6.0,165.6,22.79
310.3,172.1,22.92
450.0,184.2,23.23
448.3,188.9,23.34
450.3,193.7,23.44
453.0,198.0,23.53
454.3,202.4,23.61
462.3,209.2,23.74
465.0,216.2,23.86
460.7,222.0,23.97
466.3,228.5,24.09
470.7,234.2,24.18
474.0,239.8,24.27
470.3,245.4,24.35
476.3,254.1,24.48
478.3,261.5,24.59
481.0,268.7,24.7
483.3,275.4,24.79
478.3,281.9,24.88
480.0,288.0,24.96
476.7,297.4,25.08
476.3,305.9,25.18
467.7,313.3,25.28
461.7,321.7,25.38
460.3,328.4,25.46
403.3,334.8,25.53
313.3,345.3,25.65
276.3,355.2,25.76
243.7,4.6,25.86
229.7,13.1,25.95
185.3,25.5,26.08
223.3,36.1,26.19
239.0,48.5,26.32
