Distance_cm,Azimuth_deg,Elevation_deg
182.0,0.0,0
182.0,0.5,0
182.0,1.0,0
182.0,1.5,0
182.0,2.0,0
182.0,2.5,0
182.0,3.0,0
182.0,3.5,0
182.0,4.0,0
180.0,6.5,0
178.0,9.5,0
177.0,13.0,0
177.0,16.0,0
208.0,19.5,0
220.0,23.0,0
220.0,26.0,0
219.0,29.5,0
219.0,32.5,0
222.0,36.0,0
226.0,39.5,0
229.0,42.5,0
231.0,46.0,0
235.0,49.0,0
241.0,52.5,0
247.0,55.5,0
247.0,59.0,0
252.0,62.5,0
264.0,65.5,0
279.0,69.0,0
167.0,72.5,0
96.0,75.5,0
66.0,79.0,0
48.0,82.0,0
46.0,85.5,0
46.0,88.5,0
64.0,91.5,0
116.0,95.0,0
486.0,98.0,0
629.0,101.0,0
730.0,104.5,0
795.0,107.5,0
1030.0,117.5,0
1011.0,120.5,0
1029.0,124.0,0
1046.0,127.5,0
1060.0,130.5,0
1091.0,134.0,0
165.0,137.5,0
67.0,141.0,0
122.0,144.5,0
44.0,147.5,0
34.0,151.0,0
29.0,154.0,0
27.0,157.5,0
27.0,161.0,0
28.0,164.0,0
31.0,167.5,0
33.0,171.0,0
101.0,174.0,0
117.0,177.5,0
115.0,181.0,0
113.0,184.0,0
151.0,187.5,0
261.0,190.5,0
299.0,194.0,0
165.0,197.5,0
91.0,200.5,0
84.0,204.0,0
83.0,207.0,0
82.0,210.5,0
83.0,214.0,0
87.0,217.0,0
180.0,220.5,0
556.0,224.0,0
567.0,227.0,0
401.0,230.5,0
379.0,233.5,0
336.0,237.0,0
242.0,240.0,0
237.0,242.5,0
241.0,245.0,0
250.0,247.0,0
343.0,250.5,0
389.0,253.5,0
430.0,257.0,0
407.0,260.5,0
365.0,263.5,0
120.0,280.0,0
102.0,283.0,0
96.0,286.5,0
93.0,289.5,0
95.0,293.0,0
98.0,296.0,0
122.0,299.0,0
447.0,302.5,0
379.0,306.0,0
308.0,309.0,0
306.0,312.0,0
390.0,315.5,0
375.0,318.5,0
389.0,322.0,0
439.0,325.0,0
478.0,328.5,0
443.0,331.5,0
398.0,334.5,0
369.0,338.0,0
244.0,341.0,0
215.0,344.0,0
207.0,347.5,0
200.0,350.5,0
195.0,353.5,0
190.0,357.0,0
186.0,360.0,0
179.0,2.0,2
178.0,5.0,2
177.0,8.0,2
179.0,11.0,2
211.0,14.0,2
221.0,17.0,2
220.0,20.0,2
219.0,23.0,2
219.0,26.0,2
220.0,29.5,2
224.0,33.0,2
228.0,36.0,2
230.0,39.5,2
234.0,42.5,2
239.0,45.5,2
244.0,49.0,2
249.0,52.5,2
250.0,55.5,2
258.0,59.0,2
271.0,62.0,2
283.0,65.5,2
221.0,68.5,2
95.0,72.0,2
64.0,75.0,2
47.0,78.5,2
47.0,81.5,2
57.0,85.0,2
131.0,88.5,2
397.0,91.5,2
627.0,95.0,2
773.0,98.0,2
944.0,101.5,2
1040.0,104.5,2
1042.0,108.0,2
1049.0,111.5,2
1038.0,114.5,2
1036.0,118.0,2
1043.0,121.0,2
544.0,131.0,2
40.0,134.0,2
93.0,137.5,2
75.0,141.0,2
39.0,144.5,2
33.0,147.5,2
30.0,151.0,2
28.0,154.0,2
28.0,157.5,2
29.0,160.5,2
52.0,164.0,2
443.0,167.0,2
148.0,170.5,2
161.0,174.0,2
140.0,177.0,2
148.0,180.5,2
308.0,183.5,2
545.0,187.0,2
556.0,190.0,2
157.0,193.5,2
86.0,197.0,2
84.0,200.0,2
84.0,203.5,2
84.0,207.0,2
85.0,210.0,2
97.0,213.0,2
328.0,216.5,2
580.0,219.5,2
568.0,223.0,2
444.0,226.5,2
511.0,229.5,2
431.0,233.0,2
252.0,236.0,2
243.0,239.5,2
264.0,242.5,2
449.0,246.0,2
478.0,249.0,2
482.0,252.5,2
468.0,255.5,2
367.0,259.0,2
73.0,272.0,2
109.0,275.5,2
103.0,278.5,2
100.0,282.0,2
97.0,285.0,2
97.0,288.5,2
102.0,291.5,2
190.0,295.0,2
482.0,298.0,2
389.0,301.5,2
307.0,304.5,2
327.0,308.0,2
478.0,311.0,2
395.0,314.5,2
422.0,317.5,2
477.0,320.5,2
475.0,324.0,2
434.0,327.0,2
389.0,330.0,2
346.0,333.5,2
219.0,336.5,2
212.0,340.0,2
205.0,343.0,2
199.0,346.0,2
194.0,349.0,2
190.0,352.0,2
187.0,355.0,2
185.0,357.0,2
184.0,359.0,2
184.0,359.5,2
184.0,360.0,2
181.8,0.0,4
182.0,0.5,4
182.0,1.0,4
182.0,3.5,4
180.0,7.0,4
178.0,10.0,4
177.0,13.5,4
184.0,16.5,4
220.0,19.5,4
221.0,23.0,4
220.0,26.0,4
219.0,29.0,4
220.0,32.5,4
223.0,36.0,4
227.0,39.0,4
229.0,42.0,4
232.0,45.5,4
236.0,48.5,4
242.0,52.0,4
248.0,55.0,4
249.0,58.5,4
253.0,61.5,4
264.0,64.5,4
278.0,68.0,4
292.0,71.0,4
263.0,74.5,4
122.0,77.5,4
73.0,80.5,4
49.0,84.0,4
51.0,87.0,4
118.0,90.5,4
259.0,93.5,4
463.0,96.5,4
614.0,100.0,4
705.0,103.0,4
794.0,106.5,4
1050.0,116.0,4
