Phase_deg,Time_s,Placeholder
-3.632058880438373e-16,1755679942.82,0
-9.969518335741075,1755679943.62,0
-19.95845049673848,1755679944.1,0
-29.8643248478598,1755679944.52,0
-39.93674827649529,1755679944.98,0
-49.87847713548141,1755679945.37,0
-59.920138648489576,1755679945.69,0
-67.98947992946117,1755679946.22,0
-67.92950822665479,1755679946.5,0
-67.81956015535205,1755679946.57,0
-71.99763926656071,1755679946.69,0
-75.04914933206526,1755679946.88,0
-74.43657745154108,1755679946.99,0
-75.06912036619455,1755679947.06,0
-74.63649268519036,1755679947.15,0
-78.71349074552882,1755679947.26,0
-82.84337183782317,1755679947.35,0
-85.72085698374501,1755679947.5,0
-90.18130590280768,1755679947.69,0
-93.48438414316068,1755679948.03,0
-93.10930980914267,1755679948.17,0
-95.35034028107943,1755679948.27,0
-100.65980885901288,1755679948.35,0
-102.45973823954925,1755679948.5,0
-102.43973871634584,1755679948.6,0
-102.96131677975652,1755679948.66,0
-102.52973662531834,1755679948.72,0
-103.74972212811669,1755679948.79,0
-109.1712251075939,1755679948.89,0
-112.4655808407141,1755679949.01,0
-113.8516498726647,1755679949.22,0
-122.26256851087449,1755679949.63,0
-125.92593676753668,1755679949.7,0
-128.97486153832043,1755679949.92,0
-133.29317334015522,1755679950.09,0
-135.51757569297888,1755679950.21,0
-137.51818740076797,1755679950.39,0
-138.2988385782591,1755679950.51,0
-141.26023587440213,1755679950.68,0
-141.22021669345423,1755679950.77,0
-143.7754271462057,1755679950.85,0
-147.4332581879203,1755679951.01,0
-151.52528812283865,1755679951.16,0
-154.05096745112334,1755679951.38,0
-154.7268594529938,1755679951.49,0
-159.02891036134955,1755679951.6,0
-159.13896155506146,1755679951.71,0
-160.91977916142372,1755679951.78,0
-165.3229041967644,1755679951.92,0
-166.5378175613013,1755679952.01,0
-170.95387969765923,1755679952.12,0
-172.5344267614109,1755679952.26,0
-176.97578848263143,1755679952.58,0
-180.7467229893516,1755679952.78,0
-184.6274539562914,1755679953.0,0
-198.78041168062146,1755679954.3,0
-201.7908332625153,1755679956.13,0
-204.58191912298358,1755679956.8,0
-208.97066092078472,1755679956.96,0
-209.82602416049423,1755679957.17,0
-209.73604777252035,1755679957.23,0
-210.78576493611098,1755679957.3,0
-214.56206230013038,1755679957.43,0
-218.4832338298909,1755679957.59,0
-221.37210047396542,1755679957.93,0
-226.17004110885952,1755679958.2,0
-229.26861670070272,1755679958.28,0
-232.43409633061287,1755679958.4,0
-233.55655920372433,1755679958.49,0
-236.2705740897935,1755679958.58,0
-239.8622317803426,1755679958.66,0
-241.8424597818179,1755679958.76,0
-242.92192757880656,1755679958.86,0
-245.00241151965554,1755679959.02,0
-244.84275520093885,1755679959.11,0
-247.49858410748462,1755679959.21,0
-251.3379346682889,1755679959.29,0
-254.11671382317536,1755679959.4,0
-257.31539349206406,1755679959.58,0
-261.23392296420553,1755679959.75,0
-262.6834251414986,1755679959.97,0
-264.40286966435696,1755679960.09,0
-267.4565787931725,1755679960.39,0
-270.0018495598759,1755679961.3,0
-272.9161774816937,1755679961.53,0
-275.8079861048183,1755679961.53,0
-277.6016235422957,1755679961.53,0
-278.42673570215186,1755679961.53,0
