Distance_cm,Azimuth_deg,Elevation_deg
451.2,0.0,0
419.6,2.0,0
420.0,4.0,0
420.0,92.0,0
421.0,276.0,0
421.0,316.0,0
476.3,0.0,5
476.6,2.0,5
476.0,88.0,5
477.0,98.0,5
476.0,134.0,5
476.0,178.0,5
476.0,206.0,5
476.0,252.0,5
482.1,0.0,10
483.0,2.0,10
492.2,0.0,15
493.0,2.0,15
493.0,128.0,15
493.0,300.0,15
505.4,0.0,20
509.1,2.0,20
510.0,312.0,20
461.3,0.0,25
460.6,2.0,25
460.0,150.0,25
406.1,0.0,30
390.2,2.0,30
342.4,0.0,35
337.0,2.0,35
308.2,0.0,40
304.0,2.0,40
304.0,52.0,40
304.0,104.0,40
304.0,192.0,40
304.0,284.0,40
281.3,0.0,45
277.0,2.0,45
258.8,0.0,50
257.1,2.0,50
242.9,0.0,55
242.0,2.0,55
242.0,180.0,55
230.4,0.0,60
230.0,2.0,60
221.7,0.0,65
221.0,2.0,65
221.0,130.0,65
221.0,302.0,65
