Distance_cm,Azimuth_deg,Elevation_deg
251.2,0.0,0
435.3,0.5,0
396.1,1.0,0
396.0,1.5,0
396.3,2.0,0
396.4,2.5,0
397.0,3.0,0
396.4,3.5,0
398.0,4.0,0
397.0,7.0,0
409.0,9.5,0
394.0,12.5,0
273.0,15.5,0
249.0,18.5,0
239.0,20.5,0
238.0,23.5,0
242.0,26.5,0
301.0,29.5,0
417.0,32.5,0
463.0,35.5,0
462.0,37.5,0
432.0,40.5,0
400.0,43.5,0
373.0,46.0,0
357.0,48.0,0
342.0,51.0,0
323.0,54.0,0
309.0,56.0,0
300.0,57.5,0
293.0,59.0,0
288.0,60.5,0
283.0,62.5,0
275.0,65.5,0
267.0,67.0,0
263.0,68.5,0
259.0,70.5,0
254.0,73.0,0
249.0,75.0,0
244.0,78.0,0
240.0,81.0,0
236.0,84.0,0
232.0,87.0,0
230.0,90.5,0
227.0,93.5,0
228.0,96.5,0
229.0,100.0,0
230.0,103.0,0
232.0,106.5,0
235.0,109.5,0
237.0,112.0,0
240.0,115.0,0
245.0,118.0,0
250.0,121.5,0
256.0,124.5,0
250.0,127.5,0
106.0,131.0,0
82.0,134.0,0
81.0,137.0,0
81.0,140.5,0
81.0,143.5,0
84.0,147.0,0
91.0,150.0,0
106.0,153.0,0
265.0,156.5,0
287.0,159.5,0
297.0,162.5,0
447.0,166.0,0
146.0,169.0,0
327.0,172.0,0
422.0,175.5,0
1057.0,183.5,0
1042.0,185.5,0
1024.0,187.5,0
1029.0,190.5,0
1051.0,194.0,0
1069.0,197.0,0
486.0,200.0,0
62.0,203.5,0
130.0,206.5,0
377.0,209.5,0
65.0,212.5,0
43.0,216.0,0
37.0,219.0,0
36.0,222.5,0
38.0,225.5,0
39.0,229.0,0
74.0,232.0,0
116.0,235.0,0
93.0,238.5,0
49.0,242.0,0
51.0,245.0,0
103.0,248.5,0
135.0,251.5,0
121.0,255.0,0
38.0,258.5,0
39.0,262.0,0
121.0,265.0,0
125.0,268.5,0
74.0,272.0,0
86.0,275.0,0
318.0,278.5,0
551.0,282.0,0
565.0,285.0,0
568.0,288.0,0
576.0,291.5,0
582.0,295.0,0
534.0,298.0,0
498.0,301.5,0
144.0,304.0,0
82.0,307.5,0
75.0,310.5,0
74.0,314.0,0
75.0,317.0,0
73.0,320.5,0
73.0,323.5,0
168.0,327.0,0
342.0,330.0,0
559.0,333.5,0
562.0,336.5,0
548.0,339.5,0
530.0,343.0,0
515.0,346.0,0
500.0,349.5,0
489.0,352.5,0
483.0,355.0,0
424.0,358.5,0
465.0,2.0,2
468.0,5.5,2
398.0,9.0,2
250.0,12.0,2
240.0,15.5,2
241.0,18.5,2
251.0,22.0,2
381.0,25.0,2
470.0,28.5,2
471.0,31.5,2
437.0,35.0,2
398.0,38.5,2
372.0,41.0,2
352.0,44.0,2
335.0,47.0,2
320.0,49.5,2
309.0,52.0,2
302.0,53.5,2
292.0,55.5,2
283.0,58.0,2
274.0,60.0,2
266.0,62.5,2
259.0,66.0,2
253.0,68.5,2
246.0,71.5,2
240.0,74.5,2
236.0,78.0,2
233.0,81.0,2
230.0,84.0,2
