Distance_cm,Azimuth_deg,Elevation_deg
53.2,0.0,0
53.0,0.5,0
53.0,1.0,0
53.0,1.5,0
53.0,2.0,0
53.0,2.5,0
53.0,3.0,0
53.0,3.5,0
53.5,4.0,0
54.0,7.0,0
55.0,10.0,0
56.0,13.5,0
57.0,16.5,0
59.0,19.5,0
60.0,23.0,0
63.0,26.0,0
66.0,29.5,0
70.0,32.5,0
74.0,36.0,0
78.0,39.5,0
83.0,42.5,0
80.0,45.5,0
77.0,49.0,0
74.0,52.5,0
72.0,55.5,0
69.0,58.5,0
67.0,62.0,0
64.0,65.5,0
63.0,68.5,0
62.0,72.0,0
62.0,75.0,0
61.0,78.5,0
61.0,81.5,0
61.0,84.5,0
61.0,88.0,0
61.0,91.0,0
62.0,94.5,0
63.0,98.0,0
64.0,101.0,0
66.0,104.5,0
68.0,107.5,0
71.0,111.0,0
73.0,114.0,0
76.0,117.0,0
79.0,120.0,0
81.0,122.5,0
85.0,125.0,0
89.0,128.0,0
149.0,131.5,0
240.0,134.5,0
260.0,138.0,0
280.0,141.0,0
303.0,144.5,0
331.0,148.0,0
359.0,151.0,0
400.0,154.5,0
457.0,157.5,0
498.0,161.0,0
385.0,164.5,0
139.0,167.5,0
132.0,171.0,0
136.0,174.5,0
141.0,177.5,0
213.0,181.0,0
276.0,184.0,0
411.0,194.0,0
107.0,210.5,0
111.0,214.0,0
502.0,217.0,0
477.0,220.5,0
306.0,224.0,0
168.0,227.0,0
105.0,230.5,0
87.0,234.0,0
51.0,237.0,0
39.0,240.5,0
33.0,244.0,0
29.0,247.0,0
27.0,250.5,0
29.0,253.5,0
32.0,257.0,0
33.0,260.5,0
47.0,264.0,0
82.0,267.0,0
552.0,270.5,0
538.0,274.0,0
172.0,277.0,0
156.0,280.5,0
167.0,283.5,0
351.0,287.0,0
490.0,290.5,0
565.0,293.5,0
625.0,297.0,0
681.0,300.5,0
175.0,303.5,0
86.0,307.0,0
79.0,310.5,0
74.0,313.5,0
70.0,317.0,0
66.0,320.0,0
63.0,323.5,0
60.0,327.0,0
59.0,330.0,0
57.0,333.5,0
56.0,337.0,0
55.0,340.0,0
54.0,343.5,0
53.0,347.0,0
53.0,350.0,0
53.0,353.5,0
53.0,356.5,0
53.0,360.0,0
54.0,0.5,2
55.0,4.0,2
56.0,7.5,2
57.0,10.5,2
58.0,14.0,2
60.0,17.5,2
62.0,20.5,2
66.0,24.0,2
70.0,27.0,2
74.0,30.5,2
78.0,34.0,2
82.0,37.0,2
80.0,40.5,2
77.0,44.0,2
74.0,47.0,2
71.0,50.5,2
69.0,54.0,2
66.0,57.0,2
65.0,60.5,2
63.0,63.5,2
62.0,67.0,2
61.0,70.0,2
61.0,73.5,2
61.0,77.0,2
61.0,80.0,2
61.0,83.5,2
61.0,87.0,2
62.0,90.0,2
63.0,93.5,2
64.0,96.5,2
66.0,100.0,2
69.0,103.5,2
71.0,106.5,2
74.0,110.0,2
77.0,113.5,2
80.0,116.5,2
84.0,120.0,2
90.0,123.0,2
155.0,126.5,2
245.0,130.0,2
262.0,133.0,2
282.0,136.5,2
306.0,139.5,2
333.0,143.0,2
362.0,146.5,2
407.0,149.5,2
463.0,153.0,2
494.0,156.0,2
397.0,159.5,2
129.0,163.0,2
133.0,166.0,2
137.0,169.5,2
148.0,172.5,2
243.0,176.0,2
126.0,202.0,2
523.0,211.5,2
582.0,215.0,2
97.0,218.0,2
89.0,221.5,2
84.0,224.5,2
80.0,228.0,2
68.0,231.0,2
40.0,234.5,2
35.0,237.5,2
31.0,241.0,2
26.0,244.0,2
24.0,247.5,2
32.0,250.5,2
33.0,254.0,2
42.0,257.0,2
75.0,260.5,2
311.0,263.5,2
598.0,267.0,2
515.0,270.0,2
153.0,273.5,2
180.0,276.5,2
503.0,280.0,2
567.0,283.0,2
564.0,286.5,2
595.0,289.5,2
642.0,293.0,2
600.0,296.0,2
89.0,299.5,2
82.0,302.5,2
78.0,306.0,2
74.0,309.5,2
70.0,312.5,2
66.0,316.0,2
63.0,319.0,2
60.0,322.0,2
59.0,325.5,2
57.0,328.5,2
56.0,332.0,2
55.0,335.0,2
54.0,338.5,2
53.0,341.5,2
53.0,345.0,2
53.0,348.0,2
53.0,351.5,2
53.0,355.0,2
53.0,358.0,2
53.0,359.0,2
53.0,359.5,2
53.0,360.0,2
53.0,0.0,4
53.0,0.5,4
53.0,1.0,4
54.0,4.5,4
54.0,8.0,4
55.0,11.5,4
57.0,14.5,4
58.0,18.0,4
60.0,21.5,4
62.0,24.5,4
64.0,28.0,4
68.0,31.5,4
73.0,34.5,4
76.0,38.0,4
82.0,41.5,4
82.0,44.5,4
78.0,48.0,4
75.0,51.5,4
72.0,54.5,4
70.0,58.0,4
67.0,61.5,4
65.0,64.5,4
63.0,68.0,4
62.0,71.5,4
62.0,74.5,4
61.0,78.0,4
61.0,81.0,4
61.0,84.5,4
61.0,87.5,4
61.0,90.5,4
62.0,94.0,4
63.0,97.0,4
64.0,100.0,4
65.0,103.5,4
68.0,107.0,4
70.0,110.0,4
73.0,113.0,4
75.0,116.5,4
78.0,119.5,4
82.0,123.0,4
86.0,126.0,4
92.0,129.5,4
192.0,132.5,4
246.0,135.5,4
264.0,138.0,4
279.0,141.0,4
299.0,144.0,4
325.0,147.5,4
351.0,150.5,4
390.0,154.0,4
441.0,157.0,4
498.0,160.0,4
507.0,163.5,4
318.0,166.5,4
149.0,170.0,4
136.0,173.0,4
191.0,176.0,4
379.0,179.5,4
645.0,218.0,4
252.0,221.0,4
143.0,224.5,4
115.0,227.5,4
95.0,231.0,4
84.0,234.0,4
54.0,237.5,4
38.0,240.5,4
33.0,243.5,4
30.0,247.0,4
26.0,250.0,4
29.0,253.5,4
32.0,257.0,4
33.0,260.0,4
48.0,263.5,4
78.0,266.5,4
513.0,270.0,4
601.0,273.0,4
332.0,276.5,4
160.0,280.0,4
266.0,283.0,4
555.0,286.5,4
577.0,289.5,4
590.0,293.0,4
612.0,296.5,4
675.0,299.5,4
441.0,303.0,4
101.0,306.0,4
81.0,309.5,4
76.0,312.5,4
72.0,316.0,4
68.0,319.5,4
64.0,322.5,4
61.0,326.0,4
59.0,329.0,4
58.0,332.5,4
56.0,336.0,4
55.0,339.0,4
54.0,342.5,4
54.0,346.0,4
53.0,349.0,4
53.0,352.5,4
53.0,355.5,4
53.0,359.0,4
54.0,1.5,6
55.0,5.0,6
56.0,8.5,6
58.0,11.5,6
59.0,15.0,6
61.0,18.0,6
63.0,21.5,6
67.0,25.0,6
71.0,28.0,6
75.0,31.5,6
79.0,34.5,6
83.0,38.0,6
80.0,41.0,6
77.0,44.5,6
74.0,47.5,6
71.0,51.0,6
69.0,54.0,6
66.0,57.5,6
64.0,61.0,6
63.0,64.0,6
62.0,67.0,6
61.0,70.5,6
61.0,73.5,6
61.0,76.5,6
61.0,80.0,6
61.0,83.0,6
61.0,86.5,6
62.0,89.5,6
63.0,93.0,6
64.0,96.0,6
66.0,99.0,6
68.0,102.5,6
71.0,105.5,6
73.0,109.0,6
76.0,112.0,6
79.0,115.0,6
82.0,118.5,6
85.0,121.5,6
95.0,124.5,6
203.0,128.0,6
251.0,131.0,6
270.0,134.5,6
289.0,137.5,6
313.0,141.0,6
339.0,144.0,6
368.0,147.0,6
413.0,150.0,6
470.0,153.5,6
508.0,156.5,6
472.0,160.0,6
414.0,163.0,6
281.0,166.0,6
136.0,169.5,6
277.0,172.5,6
541.0,211.0,6
621.0,214.0,6
192.0,217.5,6
164.0,220.5,6
104.0,224.0,6
92.0,227.0,6
89.0,230.0,6
85.0,233.5,6
65.0,236.5,6
38.0,240.0,6
29.0,243.0,6
29.0,246.5,6
30.0,249.5,6
32.0,253.0,6
39.0,256.0,6
76.0,259.5,6
591.0,262.5,6
609.0,266.0,6
591.0,269.5,6
254.0,272.5,6
160.0,276.0,6
348.0,279.0,6
575.0,282.5,6
586.0,285.5,6
600.0,289.0,6
643.0,292.0,6
721.0,295.5,6
149.0,299.0,6
84.0,302.0,6
79.0,305.5,6
75.0,308.5,6
71.0,312.0,6
67.0,315.0,6
64.0,318.0,6
61.0,321.5,6
59.0,325.0,6
58.0,328.0,6
56.0,331.5,6
55.0,334.5,6
54.0,338.0,6
54.0,341.0,6
53.0,344.5,6
53.0,347.5,6
53.0,351.0,6
53.0,354.5,6
54.0,357.5,6
54.0,359.0,6
53.8,359.5,6
53.0,360.0,6
54.0,0.0,8
54.0,0.5,8
54.0,1.0,8
54.0,3.0,8
55.0,6.0,8
55.0,9.5,8
56.0,13.0,8
58.0,16.0,8
59.0,19.5,8
61.0,23.0,8
63.0,26.0,8
67.0,29.0,8
70.0,32.5,8
74.0,35.5,8
79.0,39.0,8
83.0,42.5,8
81.0,45.5,8
78.0,49.0,8
75.0,52.5,8
72.0,55.5,8
70.0,59.0,8
67.0,62.0,8
65.0,65.5,8
64.0,69.0,8
63.0,72.0,8
62.0,75.5,8
61.0,78.5,8
61.0,82.0,8
61.0,85.0,8
61.0,88.5,8
62.0,92.0,8
63.0,95.0,8
64.0,98.5,8
65.0,101.5,8
67.0,105.0,8
69.0,108.0,8
72.0,111.5,8
74.0,115.0,8
77.0,118.0,8
81.0,121.5,8
84.0,125.0,8
89.0,128.0,8
126.0,131.0,8
238.0,134.0,8
256.0,137.5,8
277.0,140.5,8
299.0,144.0,8
325.0,147.5,8
352.0,150.5,8
391.0,154.0,8
445.0,157.0,8
502.0,160.5,8
512.0,163.5,8
510.0,167.0,8
298.0,170.0,8
138.0,174.0,8
133.0,177.0,8
157.0,180.0,8
690.0,219.0,8
699.0,222.0,8
733.0,225.5,8
740.0,228.5,8
752.0,232.0,8
778.0,235.0,8
748.0,238.0,8
790.0,241.5,8
45.0,244.5,8
126.0,248.0,8
150.0,251.0,8
605.0,254.5,8
634.0,257.5,8
529.0,260.5,8
139.0,264.0,8
585.0,267.0,8
615.0,270.5,8
616.0,273.5,8
525.0,277.0,8
178.0,280.0,8
297.0,283.0,8
563.0,286.5,8
586.0,289.5,8
598.0,293.0,8
621.0,296.0,8
686.0,299.0,8
381.0,302.5,8
100.0,305.5,8
82.0,309.0,8
78.0,312.0,8
74.0,315.5,8
70.0,318.5,8
66.0,322.0,8
63.0,325.0,8
61.0,328.0,8
59.0,331.5,8
57.0,334.5,8
56.0,338.0,8
55.0,341.0,8
54.0,344.0,8
54.0,347.5,8
54.0,351.0,8
53.0,354.0,8
53.0,357.5,8
55.0,3.0,10
56.0,6.0,10
57.0,9.5,10
59.0,12.5,10
60.0,15.5,10
62.0,19.0,10
65.0,22.0,10
68.0,25.5,10
72.0,28.5,10
76.0,31.5,10
80.0,35.0,10
84.0,38.0,10
81.0,41.0,10
78.0,44.5,10
75.0,47.5,10
72.0,50.5,10
70.0,54.0,10
68.0,57.0,10
66.0,60.0,10
64.0,63.0,10
63.0,66.5,10
62.0,69.5,10
62.0,73.0,10
62.0,76.0,10
62.0,79.0,10
62.0,82.0,10
62.0,85.5,10
62.0,88.5,10
63.0,91.5,10
65.0,95.0,10
66.0,98.0,10
68.0,101.0,10
71.0,104.5,10
73.0,107.5,10
76.0,111.0,10
79.0,114.0,10
82.0,117.0,10
85.0,120.0,10
89.0,123.5,10
129.0,126.5,10
247.0,129.5,10
262.0,133.0,10
282.0,136.0,10
304.0,139.5,10
330.0,142.5,10
357.0,146.0,10
398.0,149.0,10
452.0,152.5,10
510.0,155.5,10
476.0,159.0,10
408.0,162.0,10
253.0,165.5,10
131.0,169.0,10
166.0,172.0,10
680.0,211.5,10
678.0,214.5,10
715.0,218.0,10
756.0,221.0,10
777.0,224.5,10
781.0,228.0,10
774.0,231.0,10
742.0,234.5,10
701.0,237.5,10
400.0,241.0,10
343.0,244.0,10
619.0,247.5,10
648.0,251.0,10
638.0,254.0,10
630.0,257.5,10
626.0,260.5,10
623.0,264.0,10
622.0,267.0,10
623.0,270.5,10
625.0,274.0,10
629.0,277.0,10
595.0,280.5,10
590.0,283.5,10
601.0,287.0,10
619.0,290.0,10
667.0,293.5,10
339.0,297.0,10
89.0,300.0,10
83.0,303.5,10
78.0,306.5,10
74.0,310.0,10
71.0,313.0,10
67.0,316.5,10
64.0,319.5,10
61.0,323.0,10
59.0,326.0,10
58.0,329.5,10
57.0,332.5,10
56.0,335.5,10
55.0,339.0,10
54.0,342.0,10
54.0,345.5,10
54.0,348.5,10
54.0,351.5,10
54.0,355.0,10
54.0,358.5,10
54.0,359.0,10
54.0,359.5,10
54.0,360.0,10
54.2,0.0,12
55.0,0.5,12
55.0,1.0,12
55.0,2.0,12
55.0,5.0,12
56.0,8.5,12
57.0,12.0,12
58.0,15.0,12
59.0,18.5,12
61.0,22.0,12
63.0,25.0,12
67.0,28.5,12
70.0,31.5,12
74.0,35.0,12
78.0,38.0,12
83.0,41.5,12
83.0,45.0,12
79.0,48.0,12
