Distance_cm,Azimuth_deg,Elevation_deg
631.2,0.0,0
631.0,0.5,0
631.0,1.0,0
631.0,1.5,0
631.0,2.0,0
631.0,2.5,0
631.0,3.0,0
631.0,3.5,0
630.5,4.0,0
630.0,7.0,0
632.0,10.5,0
629.0,14.0,0
581.0,17.0,0
644.0,20.5,0
658.0,23.5,0
655.0,27.0,0
636.0,30.5,0
637.0,34.0,0
669.0,37.0,0
660.0,40.5,0
641.0,43.5,0
538.0,47.0,0
477.0,50.5,0
479.0,53.5,0
443.0,57.0,0
428.0,60.5,0
400.0,63.5,0
374.0,67.0,0
365.0,70.0,0
368.0,73.5,0
341.0,77.0,0
327.0,80.0,0
352.0,83.5,0
338.0,87.0,0
327.0,90.0,0
325.0,93.5,0
330.0,96.5,0
226.0,100.0,0
60.0,103.5,0
49.0,107.0,0
47.0,110.0,0
49.0,113.5,0
50.0,117.0,0
51.0,120.0,0
51.0,123.5,0
52.0,127.0,0
53.0,130.0,0
54.0,133.5,0
56.0,136.5,0
59.0,140.0,0
61.0,143.5,0
69.0,146.5,0
77.0,150.0,0
104.0,153.5,0
71.0,156.5,0
73.0,160.0,0
309.0,163.0,0
909.0,173.0,0
908.0,176.5,0
892.0,180.0,0
878.0,183.0,0
898.0,186.5,0
614.0,190.0,0
71.0,193.5,0
41.0,197.0,0
40.0,200.0,0
41.0,203.5,0
42.0,206.5,0
43.0,210.0,0
44.0,213.0,0
405.0,216.5,0
672.0,219.5,0
731.0,223.0,0
697.0,226.0,0
635.0,229.5,0
574.0,232.5,0
578.0,236.0,0
553.0,239.0,0
348.0,242.5,0
296.0,245.5,0
280.0,249.0,0
276.0,252.0,0
280.0,255.5,0
340.0,258.5,0
367.0,262.0,0
429.0,265.5,0
431.0,268.5,0
428.0,271.5,0
429.0,275.0,0
424.0,278.0,0
417.0,281.5,0
415.0,284.5,0
429.0,288.0,0
430.0,291.5,0
372.0,294.5,0
112.0,297.5,0
91.0,301.0,0
84.0,304.0,0
81.0,307.0,0
80.0,310.5,0
80.0,313.5,0
84.0,316.5,0
101.0,319.5,0
406.0,322.0,0
617.0,324.5,0
625.0,327.0,0
601.0,329.5,0
596.0,332.5,0
597.0,335.5,0
635.0,338.0,0
690.0,341.0,0
667.0,344.0,0
602.0,347.0,0
604.0,350.0,0
634.0,352.5,0
642.0,355.5,0
636.0,358.5,0
630.0,1.5,2
631.0,5.0,2
631.0,8.0,2
591.0,11.0,2
627.0,14.5,2
644.0,17.5,2
659.0,21.0,2
641.0,24.0,2
633.0,26.5,2
646.0,30.5,2
674.0,33.5,2
658.0,36.5,2
619.0,40.0,2
518.0,43.0,2
472.0,46.5,2
479.0,49.5,2
455.0,53.0,2
420.0,56.0,2
397.0,59.0,2
385.0,62.5,2
374.0,65.5,2
379.0,68.5,2
358.0,72.0,2
340.0,75.0,2
348.0,78.5,2
352.0,81.5,2
318.0,84.5,2
314.0,88.0,2
339.0,91.0,2
320.0,94.5,2
303.0,97.5,2
306.0,100.5,2
350.0,103.0,2
317.0,106.5,2
310.0,109.5,2
319.0,112.5,2
327.0,116.0,2
335.0,119.0,2
346.0,122.0,2
358.0,125.0,2
379.0,128.0,2
455.0,131.5,2
489.0,135.0,2
515.0,138.0,2
551.0,141.5,2
593.0,144.5,2
617.0,148.0,2
725.0,151.5,2
820.0,154.5,2
903.0,158.0,2
929.0,161.0,2
930.0,164.5,2
922.0,167.5,2
910.0,171.0,2
902.0,174.5,2
887.0,177.5,2
817.0,181.0,2
427.0,184.0,2
39.0,187.5,2
39.0,191.0,2
40.0,194.0,2
41.0,197.5,2
42.0,200.5,2
44.0,204.0,2
66.0,207.5,2
458.0,210.5,2
782.0,214.0,2
681.0,217.0,2
449.0,220.5,2
263.0,224.0,2
335.0,227.0,2
576.0,230.5,2
554.0,233.5,2
532.0,237.0,2
494.0,240.0,2
409.0,243.5,2
295.0,247.0,2
301.0,250.0,2
362.0,253.5,2
380.0,256.5,2
390.0,260.0,2
422.0,263.0,2
428.0,266.5,2
429.0,269.5,2
431.0,272.5,2
428.0,275.0,2
415.0,277.5,2
414.0,280.0,2
412.0,283.0,2
399.0,286.5,2
380.0,289.5,2
219.0,293.0,2
86.0,296.5,2
82.0,299.5,2
79.0,303.0,2
77.0,306.0,2
78.0,309.5,2
83.0,312.5,2
137.0,316.0,2
646.0,319.5,2
666.0,322.5,2
709.0,326.0,2
713.0,329.0,2
713.0,332.5,2
701.0,335.5,2
655.0,339.0,2
600.0,342.5,2
608.0,345.5,2
629.0,348.5,2
639.0,352.0,2
634.0,355.0,2
631.0,358.5,2
631.7,359.0,2
631.8,359.5,2
631.5,360.0,2
631.2,0.0,4
632.0,0.5,4
632.0,1.0,4
631.0,2.5,4
630.0,5.5,4
631.0,8.5,4
633.0,12.0,4
628.0,15.0,4
627.0,18.5,4
622.0,21.5,4
613.0,25.0,4
639.0,28.0,4
631.0,31.5,4
636.0,34.5,4
674.0,38.0,4
661.0,41.0,4
625.0,44.5,4
542.0,48.0,4
502.0,51.0,4
480.0,54.5,4
457.0,58.0,4
439.0,61.0,4
404.0,64.5,4
382.0,67.5,4
372.0,71.0,4
375.0,74.0,4
354.0,77.5,4
339.0,81.0,4
355.0,84.0,4
340.0,87.5,4
335.0,91.0,4
337.0,94.0,4
338.0,97.5,4
306.0,100.5,4
306.0,104.0,4
343.0,107.5,4
314.0,110.5,4
329.0,114.0,4
322.0,117.5,4
328.0,120.5,4
337.0,124.0,4
348.0,127.0,4
362.0,130.5,4
392.0,134.0,4
468.0,137.0,4
497.0,140.5,4
529.0,144.0,4
565.0,147.0,4
610.0,150.5,4
658.0,154.0,4
723.0,157.0,4
793.0,160.5,4
827.0,163.5,4
832.0,167.0,4
914.0,170.5,4
918.0,173.5,4
913.0,177.0,4
906.0,180.5,4
903.0,183.5,4
909.0,186.5,4
450.0,190.5,4
61.0,193.5,4
41.0,197.0,4
40.0,200.0,4
41.0,203.5,4
42.0,207.0,4
43.0,210.0,4
43.0,213.5,4
85.0,216.5,4
614.0,220.0,4
702.0,223.5,4
672.0,226.5,4
628.0,230.0,4
596.0,233.5,4
570.0,236.5,4
547.0,240.0,4
519.0,243.0,4
444.0,246.5,4
296.0,250.0,4
362.0,253.0,4
369.0,256.5,4
367.0,260.0,4
421.0,263.0,4
432.0,266.5,4
371.0,269.5,4
124.0,273.0,4
104.0,276.5,4
100.0,279.5,4
98.0,283.0,4
101.0,286.0,4
107.0,289.5,4
409.0,293.0,4
465.0,296.0,4
477.0,299.5,4
487.0,302.5,4
502.0,306.0,4
521.0,309.5,4
542.0,312.5,4
512.0,316.0,4
505.0,319.0,4
628.0,322.5,4
668.0,325.5,4
690.0,329.0,4
696.0,332.0,4
708.0,335.0,4
715.0,338.5,4
647.0,341.5,4
604.0,345.0,4
606.0,348.0,4
615.0,351.5,4
641.0,354.5,4
638.0,358.0,4
627.0,0.5,6
631.0,3.5,6
636.0,7.0,6
630.0,10.0,6
627.0,13.5,6
627.0,16.5,6
628.0,20.0,6
637.0,23.5,6
631.0,26.5,6
645.0,30.0,6
673.0,33.0,6
657.0,36.5,6
586.0,40.0,6
537.0,43.0,6
504.0,46.5,6
479.0,49.5,6
455.0,53.0,6
436.0,56.0,6
419.0,59.5,6
402.0,62.5,6
389.0,66.0,6
381.0,69.0,6
372.0,72.5,6
362.0,75.5,6
360.0,79.0,6
357.0,82.5,6
350.0,85.5,6
350.0,89.0,6
354.0,92.0,6
353.0,95.0,6
354.0,98.5,6
359.0,101.5,6
362.0,105.0,6
362.0,108.0,6
326.0,111.5,6
328.0,115.0,6
338.0,118.0,6
348.0,121.5,6
362.0,124.5,6
382.0,128.0,6
456.0,131.0,6
495.0,134.5,6
525.0,138.0,6
560.0,141.0,6
603.0,144.5,6
