Distance_cm,Azimuth_deg,Elevation_deg
447.0,0.0,0
447.0,0.5,0
446.8,1.0,0
446.8,1.5,0
447.0,2.0,0
446.2,2.5,0
446.4,3.0,0
446.8,3.5,0
439.5,4.0,0
398.0,7.0,0
389.0,10.0,0
303.0,20.0,0
285.0,23.0,0
273.0,26.5,0
257.0,30.0,0
247.0,33.0,0
239.0,36.5,0
251.0,40.0,0
331.0,43.0,0
730.0,46.0,0
250.0,49.5,0
223.0,53.0,0
221.0,56.0,0
220.0,59.5,0
220.0,63.0,0
222.0,65.5,0
226.0,68.5,0
229.0,70.5,0
230.0,73.5,0
233.0,75.5,0
235.0,77.0,0
237.0,79.0,0
240.0,82.0,0
245.0,85.5,0
161.0,89.0,0
69.0,92.0,0
60.0,95.0,0
60.0,98.5,0
63.0,102.0,0
66.0,105.0,0
69.0,108.0,0
71.0,111.5,0
42.0,115.0,0
37.0,117.5,0
35.0,120.0,0
35.0,123.0,0
36.0,126.5,0
37.0,130.0,0
44.0,133.0,0
48.0,136.5,0
49.0,139.5,0
495.0,143.0,0
912.0,146.0,0
988.0,149.0,0
995.0,152.5,0
319.0,155.0,0
91.0,158.5,0
71.0,162.0,0
475.0,165.0,0
640.0,168.5,0
201.0,171.5,0
47.0,175.0,0
37.0,178.0,0
61.0,181.5,0
33.0,184.5,0
32.0,188.0,0
30.0,191.5,0
28.0,195.0,0
26.0,198.0,0
24.0,201.5,0
25.0,205.0,0
29.0,208.0,0
52.0,211.5,0
107.0,214.5,0
98.0,218.0,0
141.0,221.0,0
130.0,224.5,0
101.0,228.0,0
531.0,231.5,0
164.0,234.5,0
100.0,238.0,0
96.0,241.0,0
96.0,244.5,0
96.0,247.5,0
92.0,251.0,0
64.0,253.5,0
39.0,256.5,0
115.0,258.5,0
397.0,261.0,0
394.0,263.5,0
340.0,265.5,0
472.0,267.5,0
449.0,268.0,0
415.0,269.5,0
349.0,271.5,0
276.0,274.0,0
265.0,277.0,0
266.0,280.0,0
217.0,282.5,0
108.0,286.0,0
97.0,289.0,0
89.0,292.0,0
85.0,295.0,0
82.0,298.0,0
79.0,301.0,0
77.0,304.0,0
79.0,307.0,0
500.0,309.0,0
390.0,312.0,0
446.0,321.0,0
332.0,324.0,0
384.0,326.5,0
325.0,329.5,0
311.0,332.5,0
316.0,336.0,0
283.0,339.0,0
267.0,342.0,0
252.0,345.0,0
252.0,348.5,0
276.0,351.5,0
355.0,354.5,0
434.0,357.5,0
399.0,1.5,2
410.0,11.0,2
303.0,14.0,2
289.0,17.5,2
277.0,20.5,2
263.0,23.5,2
252.0,27.0,2
244.0,30.0,2
239.0,33.0,2
229.0,42.5,2
223.0,45.5,2
221.0,49.0,2
220.0,52.0,2
219.0,55.5,2
219.0,58.5,2
224.0,62.0,2
227.0,65.0,2
230.0,68.0,2
233.0,71.5,2
237.0,75.0,2
242.0,78.0,2
245.0,81.0,2
231.0,84.0,2
80.0,86.5,2
62.0,90.0,2
60.0,93.0,2
64.0,96.0,2
69.0,99.5,2
73.0,102.5,2
73.0,106.0,2
43.0,109.0,2
37.0,112.5,2
36.0,116.0,2
36.0,119.0,2
37.0,122.5,2
45.0,125.5,2
51.0,129.0,2
72.0,132.5,2
452.0,135.5,2
1051.0,139.0,2
1045.0,142.5,2
1031.0,145.5,2
988.0,149.0,2
726.0,152.0,2
72.0,155.5,2
217.0,159.0,2
616.0,162.5,2
59.0,165.5,2
28.0,172.0,2
30.0,175.5,2
38.0,178.5,2
35.0,181.5,2
32.0,184.5,2
30.0,188.0,2
27.0,191.0,2
25.0,194.0,2
24.0,197.0,2
23.0,200.0,2
43.0,203.5,2
314.0,207.0,2
315.0,210.5,2
112.0,214.0,2
148.0,217.0,2
113.0,220.5,2
245.0,223.5,2
524.0,227.0,2
120.0,230.0,2
96.0,233.0,2
95.0,236.0,2
95.0,239.5,2
95.0,242.5,2
85.0,245.5,2
57.0,249.0,2
55.0,252.0,2
407.0,255.0,2
559.0,258.5,2
590.0,261.5,2
596.0,265.0,2
573.0,268.0,2
276.0,271.5,2
267.0,274.5,2
215.0,278.0,2
101.0,281.0,2
94.0,284.5,2
88.0,287.5,2
83.0,291.0,2
80.0,294.0,2
78.0,296.5,2
80.0,299.5,2
478.0,316.0,2
417.0,319.0,2
368.0,320.5,2
370.0,322.5,2
458.0,325.0,2
467.0,327.0,2
475.0,330.0,2
387.0,333.5,2
267.0,336.5,2
255.0,340.0,2
258.0,343.0,2
286.0,346.0,2
465.0,349.0,2
484.0,352.5,2
474.0,355.5,2
444.0,358.5,2
445.0,359.0,2
444.8,359.5,2
451.0,360.0,2
439.2,0.0,4
442.2,0.5,4
442.3,1.0,4
429.0,3.5,4
395.0,6.5,4
548.0,9.5,4
309.0,19.5,4
288.0,22.5,4
277.0,25.5,4
261.0,29.0,4
252.0,31.5,4
246.0,34.0,4
239.0,37.5,4
252.0,40.5,4
227.0,50.0,4
222.0,53.5,4
220.0,56.5,4
220.0,59.5,4
219.0,63.0,4
224.0,66.0,4
228.0,69.5,4
231.0,72.5,4
233.0,75.5,4
237.0,79.0,4
241.0,82.0,4
246.0,85.0,4
249.0,88.0,4
183.0,91.0,4
74.0,94.0,4
66.0,97.0,4
70.0,100.5,4
74.0,103.5,4
75.0,107.0,4
80.0,110.0,4
49.0,113.0,4
38.0,115.5,4
36.0,118.5,4
36.0,121.0,4
