Distance_cm,Azimuth_deg,Elevation_deg
386.8,0.0,0
507.7,0.5,0
332.5,9.5,0
229.0,10.0,0
227.0,12.0,0
231.0,14.0,0
281.0,17.0,0
647.0,19.5,0
503.0,38.0,0
381.0,39.5,0
255.0,41.0,0
425.0,49.5,0
486.0,58.0,0
487.0,58.5,0
438.0,60.0,0
357.0,62.5,0
305.0,64.5,0
308.0,66.0,0
325.0,68.5,0
234.0,71.5,0
224.0,73.0,0
224.0,75.0,0
224.0,76.5,0
224.0,77.5,0
225.0,79.0,0
293.0,81.0,0
404.0,83.0,0
450.0,85.5,0
480.0,87.5,0
487.0,89.0,0
468.0,91.0,0
427.0,93.0,0
410.0,95.0,0
402.0,96.0,0
393.0,97.5,0
387.0,99.0,0
377.0,101.0,0
361.0,102.5,0
347.0,104.0,0
338.0,104.5,0
333.0,107.0,0
323.0,108.0,0
316.0,109.5,0
311.0,111.0,0
306.0,112.0,0
302.0,113.5,0
298.0,115.5,0
295.0,117.0,0
293.0,118.5,0
289.0,120.5,0
285.0,121.5,0
282.0,122.5,0
282.0,124.0,0
278.0,127.0,0
266.0,131.0,0
262.0,138.0,0
261.0,140.5,0
204.0,142.5,0
52.0,145.0,0
68.0,147.5,0
249.0,149.5,0
264.0,152.0,0
270.0,162.0,0
158.0,163.5,0
108.0,165.5,0
106.0,168.0,0
93.0,170.5,0
42.0,171.5,0
41.0,173.0,0
46.5,174.5,0
49.0,175.5,0
61.0,178.5,0
61.0,181.0,0
61.0,184.0,0
64.0,187.0,0
82.0,189.5,0
281.0,192.5,0
336.0,195.0,0
335.0,197.5,0
327.0,199.5,0
322.0,200.5,0
326.0,203.5,0
363.0,206.0,0
548.0,208.5,0
611.0,211.0,0
667.0,213.0,0
718.0,214.5,0
758.0,215.5,0
797.0,216.5,0
841.0,218.0,0
90.0,222.0,0
80.0,223.5,0
48.0,225.5,0
61.0,228.0,0
87.0,230.0,0
87.0,232.5,0
88.0,234.5,0
80.0,236.5,0
53.0,239.0,0
40.0,241.5,0
34.0,244.5,0
35.0,247.0,0
36.0,248.5,0
36.0,250.5,0
37.0,252.5,0
38.0,254.5,0
3.0,257.0,0
98.0,259.0,0
103.0,263.0,0
102.0,265.5,0
94.0,268.0,0
86.0,270.0,0
81.0,272.0,0
77.0,274.5,0
52.0,276.5,0
43.0,279.0,0
44.0,281.0,0
44.0,283.0,0
49.0,285.0,0
54.0,287.5,0
144.0,290.0,0
165.0,292.5,0
149.0,295.5,0
141.0,298.0,0
139.0,300.5,0
139.0,303.5,0
137.0,305.5,0
150.0,307.5,0
439.0,309.5,0
537.0,311.5,0
537.0,313.5,0
535.0,315.5,0
531.0,318.5,0
527.0,321.0,0
526.0,323.5,0
521.0,326.0,0
520.0,329.0,0
525.0,331.0,0
527.0,331.5,0
529.0,333.0,0
529.0,335.0,0
531.0,337.5,0
537.0,338.5,0
536.0,340.0,0
402.0,341.5,0
325.0,343.0,0
300.0,344.0,0
288.0,346.0,0
320.0,348.5,0
353.0,350.0,0
290.0,352.0,0
287.0,354.0,0
288.0,356.0,0
315.0,357.5,0
383.0,360.0,0
247.0,1.5,2
249.0,4.5,2
364.0,8.0,2
605.0,11.0,2
491.0,49.0,2
490.0,52.0,2
390.0,61.5,2
406.0,64.5,2
242.0,68.0,2
225.0,71.0,2
235.0,74.0,2
393.0,77.5,2
486.0,80.5,2
489.0,84.0,2
453.0,87.0,2
412.0,90.0,2
391.0,93.5,2
370.0,96.5,2
346.0,99.5,2
327.0,103.0,2
314.0,106.0,2
304.0,109.5,2
296.0,112.5,2
289.0,116.0,2
282.0,119.5,2
276.0,122.5,2
268.0,125.5,2
265.0,129.0,2
263.0,132.0,2
251.0,135.5,2
80.0,138.5,2
124.0,141.5,2
264.0,144.5,2
265.0,147.0,2
268.0,150.0,2
271.0,152.5,2
273.0,155.0,2
275.0,157.0,2
259.0,159.5,2
177.0,161.5,2
182.0,164.5,2
73.0,166.5,2
41.0,169.0,2
59.0,171.5,2
68.0,174.0,2
63.0,176.5,2
63.0,178.0,2
69.0,180.0,2
78.0,182.0,2
89.0,183.5,2
207.0,185.5,2
341.0,187.0,2
349.0,188.5,2
344.0,190.5,2
335.0,193.5,2
327.0,195.0,2
337.0,197.5,2
395.0,200.5,2
531.0,203.0,2
614.0,205.5,2
665.0,208.0,2
687.0,210.5,2
526.0,213.5,2
118.0,216.5,2
87.0,219.5,2
80.0,222.5,2
83.0,225.5,2
86.0,228.0,2
81.0,231.0,2
48.0,234.0,2
35.0,237.0,2
31.0,240.0,2
33.0,242.5,2
35.0,245.5,2
54.0,248.5,2
355.0,251.5,2
509.0,255.0,2
200.0,258.0,2
96.0,261.0,2
87.0,264.0,2
80.0,266.5,2
74.0,269.5,2
44.0,272.5,2
44.0,275.5,2
46.0,278.5,2
58.0,281.5,2
177.0,284.5,2
185.0,288.0,2
173.0,291.0,2
148.0,293.0,2
147.0,295.5,2
166.0,297.5,2
297.0,300.0,2
548.0,303.0,2
547.0,306.0,2
539.0,309.0,2
534.0,312.0,2
529.0,315.0,2
527.0,317.5,2
525.0,320.0,2
520.0,322.5,2
526.0,326.5,2
528.0,328.5,2
530.0,331.0,2
535.0,334.0,2
542.0,337.0,2
532.0,340.0,2
445.0,343.0,2
513.0,346.0,2
519.0,348.5,2
503.0,351.5,2
543.0,354.5,2
469.8,0.0,4
653.5,0.5,4
653.7,1.0,4
640.0,2.5,4
288.0,5.5,4
253.0,9.0,4
441.0,12.0,4
607.0,15.0,4
624.0,18.5,4
505.0,57.5,4
449.0,70.5,4
231.0,73.5,4
228.0,77.0,4
237.0,80.0,4
371.0,83.5,4
444.0,86.5,4
487.0,90.0,4
447.0,93.5,4
410.0,96.5,4
389.0,100.0,4
366.0,103.0,4
343.0,106.5,4
326.0,109.5,4
314.0,113.0,4
304.0,116.5,4
297.0,119.5,4
289.0,123.0,4
283.0,126.0,4
276.0,129.5,4
268.0,133.0,4
266.0,136.0,4
264.0,139.5,4
199.0,142.5,4
124.0,146.0,4
258.0,149.0,4
266.0,152.5,4
269.0,156.0,4
272.0,159.0,4
276.0,162.5,4
281.0,165.5,4
285.0,169.0,4
91.0,172.0,4
45.0,175.5,4
149.0,179.0,4
87.0,182.0,4
82.0,185.5,4
188.0,188.5,4
337.0,192.0,4
351.0,195.0,4
339.0,198.5,4
325.0,201.5,4
339.0,205.0,4
493.0,208.5,4
614.0,211.5,4
689.0,215.0,4
772.0,218.0,4
807.0,221.5,4
1124.0,231.0,4
1095.0,234.5,4
669.0,238.0,4
74.0,241.0,4
37.0,244.5,4
35.0,247.5,4
37.0,251.0,4
38.0,254.5,4
381.0,257.5,4
699.0,261.0,4
195.0,264.0,4
98.0,267.5,4
83.0,270.5,4
78.0,274.0,4
51.0,277.5,4
44.0,280.5,4
45.0,283.5,4
50.0,287.0,4
138.0,290.0,4
177.0,293.5,4
157.0,296.5,4
169.0,300.0,4
483.0,303.0,4
530.0,306.5,4
551.0,309.5,4
544.0,313.0,4
537.0,316.0,4
532.0,319.5,4
529.0,322.5,4
525.0,326.0,4
523.0,329.0,4
529.0,332.0,4
531.0,335.5,4
536.0,338.5,4
544.0,342.0,4
552.0,345.0,4
563.0,348.0,4
577.0,351.5,4
592.0,354.5,4
611.0,358.0,4
362.0,3.0,6
631.0,6.5,6
618.0,9.5,6
477.0,65.0,6
373.0,68.0,6
233.0,71.5,6
248.0,74.5,6
448.0,78.0,6
491.0,81.0,6
489.0,84.5,6
444.0,88.0,6
