Distance_cm,Azimuth_deg,Elevation_deg
54.0,0.0,0
54.0,0.5,0
54.0,1.0,0
54.0,1.5,0
54.0,2.0,0
54.0,2.5,0
54.0,3.0,0
54.0,3.5,0
54.0,4.0,0
55.0,4.5,0
57.0,7.5,0
59.0,11.0,0
61.0,14.5,0
65.0,17.5,0
70.0,21.0,0
74.0,23.5,0
79.0,26.5,0
83.0,29.5,0
84.0,32.5,0
81.0,35.0,0
79.0,38.0,0
76.0,41.5,0
74.0,44.5,0
72.0,47.5,0
71.0,51.0,0
69.0,54.0,0
68.0,57.5,0
67.0,60.5,0
67.0,64.0,0
67.0,67.0,0
67.0,70.5,0
67.0,73.5,0
68.0,77.0,0
68.0,80.0,0
70.0,83.0,0
71.0,86.5,0
73.0,89.5,0
75.0,93.0,0
77.0,96.0,0
80.0,99.5,0
82.0,102.5,0
86.0,106.0,0
91.0,109.0,0
96.0,112.0,0
166.0,115.5,0
250.0,118.5,0
272.0,122.0,0
291.0,125.0,0
315.0,128.5,0
342.0,131.5,0
370.0,135.0,0
412.0,138.0,0
455.0,141.0,0
94.0,144.5,0
57.0,147.5,0
56.0,151.0,0
58.0,154.0,0
61.0,157.5,0
65.0,160.5,0
76.0,164.0,0
76.0,167.0,0
46.0,170.0,0
107.0,192.5,0
146.0,196.0,0
647.0,199.0,0
580.0,202.5,0
278.0,205.5,0
129.0,209.0,0
67.0,212.5,0
39.0,215.5,0
32.0,219.0,0
26.0,222.0,0
24.0,225.5,0
24.0,229.0,0
26.0,232.0,0
28.0,235.5,0
20.0,238.5,0
28.0,242.0,0
42.0,245.0,0
80.0,252.0,0
75.0,255.0,0
75.0,258.5,0
75.0,261.5,0
75.0,265.0,0
76.0,268.5,0
77.0,271.5,0
96.0,275.0,0
544.0,278.0,0
634.0,281.5,0
659.0,285.0,0
110.0,288.0,0
79.0,291.5,0
73.0,294.5,0
68.0,298.0,0
64.0,301.0,0
61.0,304.5,0
58.0,307.5,0
56.0,311.0,0
54.0,314.5,0
53.0,317.5,0
51.0,321.0,0
50.0,324.5,0
49.0,327.5,0
49.0,331.0,0
49.0,334.0,0
49.0,337.5,0
49.0,341.0,0
49.0,344.0,0
49.0,347.5,0
49.0,350.5,0
51.0,354.0,0
51.0,357.5,0
56.0,0.5,2
58.0,4.0,2
60.0,7.5,2
63.0,10.5,2
67.0,14.0,2
72.0,17.5,2
77.0,20.5,2
83.0,24.0,2
84.0,27.0,2
80.0,30.5,2
78.0,34.0,2
75.0,37.0,2
73.0,40.5,2
72.0,44.0,2
70.0,47.0,2
69.0,50.0,2
68.0,53.5,2
67.0,57.0,2
67.0,60.0,2
67.0,63.5,2
67.0,66.5,2
67.0,70.0,2
68.0,73.0,2
69.0,76.5,2
71.0,80.0,2
72.0,83.0,2
74.0,86.5,2
76.0,88.5,2
78.0,92.5,2
81.0,95.5,2
83.0,98.5,2
85.0,101.0,2
88.0,103.0,2
88.0,105.0,2
91.0,107.0,2
97.0,109.0,2
159.0,111.0,2
249.0,113.5,2
258.0,115.5,2
269.0,117.5,2
284.0,119.5,2
300.0,122.0,2
322.0,124.5,2
342.0,127.0,2
367.0,129.5,2
409.0,133.0,2
443.0,136.0,2
134.0,139.0,2
57.0,142.5,2
56.0,145.5,2
58.0,149.0,2
61.0,152.0,2
66.0,155.0,2
75.0,158.5,2
81.0,161.5,2
77.0,165.0,2
137.0,168.0,2
389.0,171.0,2
383.0,174.5,2
113.0,184.0,2
102.0,187.0,2
260.0,190.5,2
270.0,193.5,2
175.0,196.5,2
84.0,200.0,2
77.0,203.0,2
68.0,206.5,2
43.0,209.5,2
