Distance_cm,Azimuth_deg,Elevation_deg,Time_s
130.0,0.96,4.29,1755934550.230
131.8,10.91,9.00,1755934550.890
136.1,20.87,8.65,1755934551.650
125.0,30.83,4.00,1755934552.250
106.8,40.78,12.67,1755934552.980
111.0,50.74,14.40,1755934553.690
106.0,60.69,13.60,1755934554.550
109.0,70.26,15.00,1755934555.380
110.0,75.09,10.09,1755934555.830
104.0,76.22,10.09,1755934555.930
149.0,89.16,30.00,1755934556.550
90.0,97.48,10.09,1755934557.020
106.0,99.84,19.92,1755934557.180
70.0,107.16,0.00,1755934557.400
115.0,124.54,0.00,1755934558.040
85.5,121.89,9.05,1755934558.090
164.0,149.40,10.00,1755934559.250
141.0,148.11,4.35,1755934559.320
