Distance_cm,Azimuth_deg,Elevation_deg
527.2,0.0,0
433.8,0.5,0
381.2,1.0,0
379.3,1.5,0
378.2,2.0,0
377.0,2.5,0
376.2,3.0,0
375.6,3.5,0
371.0,4.0,0
293.0,5.5,0
363.0,8.5,0
443.0,12.0,0
490.0,14.5,0
448.0,17.0,0
411.0,20.0,0
377.0,23.0,0
354.0,26.0,0
348.0,29.0,0
324.0,32.0,0
293.0,35.0,0
278.0,38.5,0
266.0,41.5,0
261.0,44.5,0
253.0,47.5,0
245.0,51.0,0
226.0,54.0,0
192.0,57.0,0
186.0,60.5,0
183.0,63.5,0
180.0,67.0,0
178.0,70.0,0
176.0,73.5,0
175.0,76.5,0
175.0,80.0,0
175.0,83.0,0
176.0,86.5,0
178.0,89.5,0
180.0,93.0,0
185.0,96.0,0
225.0,99.5,0
233.0,102.5,0
238.0,106.0,0
245.0,109.0,0
254.0,112.5,0
265.0,115.5,0
278.0,118.5,0
282.0,121.5,0
263.0,124.5,0
278.0,127.5,0
289.0,129.5,0
280.0,132.5,0
267.0,136.0,0
125.0,138.5,0
63.0,141.5,0
59.0,144.5,0
61.0,148.0,0
67.0,151.0,0
79.0,154.0,0
274.0,157.0,0
312.0,160.5,0
901.0,163.5,0
796.0,166.5,0
154.0,169.0,0
122.0,172.0,0
125.0,175.5,0
22.0,185.0,0
19.0,188.5,0
20.0,191.5,0
20.0,194.5,0
21.0,198.0,0
22.0,201.0,0
22.0,203.0,0
23.0,206.0,0
24.0,209.0,0
26.0,212.5,0
27.0,215.5,0
29.0,218.5,0
48.0,221.5,0
84.0,225.0,0
82.0,228.5,0
77.0,231.5,0
103.0,234.5,0
122.0,238.0,0
120.0,241.0,0
118.0,244.0,0
117.0,247.5,0
104.0,251.0,0
154.0,254.0,0
550.0,257.0,0
575.0,260.0,0
572.0,263.5,0
579.0,266.5,0
584.0,269.5,0
589.0,272.5,0
574.0,276.0,0
560.0,279.0,0
536.0,282.5,0
582.0,285.5,0
591.0,289.0,0
424.0,292.0,0
419.0,295.5,0
410.0,298.5,0
354.0,302.0,0
365.0,305.0,0
364.0,308.0,0
333.0,310.5,0
503.0,313.5,0
603.0,316.0,0
596.0,319.0,0
577.0,322.5,0
561.0,325.5,0
549.0,329.0,0
445.0,339.0,0
342.0,342.0,0
334.0,345.5,0
321.0,348.5,0
328.0,352.0,0
299.0,355.5,0
338.0,358.5,0
327.0,1.5,2
490.0,5.0,2
492.0,8.5,2
458.0,11.5,2
411.0,15.0,2
378.0,18.0,2
351.0,21.0,2
335.0,24.0,2
299.0,27.5,2
284.0,30.5,2
271.0,34.0,2
263.0,37.0,2
256.0,40.0,2
247.0,43.0,2
236.0,46.5,2
204.0,49.5,2
188.0,52.5,2
184.0,55.5,2
181.0,59.0,2
179.0,62.0,2
177.0,65.0,2
176.0,68.5,2
175.0,71.5,2
175.0,74.5,2
176.0,77.5,2
177.0,81.0,2
178.0,84.0,2
181.0,87.0,2
189.0,90.5,2
230.0,93.5,2
234.0,96.5,2
239.0,100.0,2
247.0,103.0,2
255.0,106.0,2
266.0,109.5,2
278.0,112.5,2
280.0,115.5,2
263.0,118.5,2
276.0,121.5,2
289.0,124.0,2
277.0,127.0,2
256.0,130.0,2
104.0,133.5,2
61.0,136.5,2
64.0,140.0,2
76.0,143.0,2
103.0,146.0,2
556.0,149.5,2
969.0,152.5,2
966.0,156.0,2
934.0,159.0,2
437.0,162.0,2
