Distance_cm,Azimuth_deg,Elevation_deg
67.3,5.2,10.0
67.3,5.3,10.0
67.0,5.5,10.0
66.7,5.3,10.0
66.7,5.7,10.0
66.7,6.4,10.0
67.0,7.1,10.0
67.7,8.1,10.0
68.7,9.1,10.0
69.7,10.5,10.0
71.0,11.8,10.0
71.7,14.2,10.0
75.7,16.7,10.0
130.3,19.2,10.0
243.3,21.2,12.33
164.0,34.0,14.31
120.0,43.9,13.11
125.0,46.2,16.96
121.3,54.8,18.26
113.3,71.0,22.49
204.0,74.1,23.3
234.3,76.1,23.74
233.0,79.7,24.48
231.0,83.0,25.22
230.7,87.1,25.93
229.0,90.6,26.54
229.0,94.0,27.09
230.7,98.9,27.93
235.0,102.2,28.36
238.0,107.6,29.1
