Distance_cm,Azimuth_deg,Elevation_deg,Time_s
106.0,0.96,5.00,1755936855.260
144.0,10.91,6.00,1755936855.610
103.5,20.87,0.67,1755936856.100
118.3,30.82,7.33,1755936856.900
107.5,40.78,8.22,1755936857.340
82.0,50.74,9.77,1755936858.070
84.1,60.69,11.70,1755936858.560
115.0,67.61,22.51,1755936858.800
107.0,68.46,4.50,1755936858.930
82.5,68.68,10.09,1755936858.970
95.0,73.63,18.23,1755936859.150
109.0,81.45,10.09,1755936859.400
81.0,93.60,10.09,1755936859.830
81.0,96.41,10.09,1755936859.920
96.0,122.12,0.00,1755936860.900
71.0,148.28,20.05,1755936862.440
82.0,150.13,10.09,1755936862.600
66.5,154.01,9.51,1755936862.760
65.3,157.56,5.96,1755936862.900
66.7,158.79,5.16,1755936862.970
63.7,164.25,5.72,1755936863.110
74.0,167.23,7.64,1755936863.200
61.0,171.73,0.00,1755936863.450
